id,date,type,category,value,price_index,reference
600,27/08/2010,Expenses,Food,46.55,,
601,27/08/2010,Expenses,Utilities,102.35,,
602,28/08/2010,Expenses,Shopping,11.38,,
603,29/08/2010,Expenses,,100.96,,
604,01/09/2010,Income,,3500.00,,
605,01/09/2010,Expenses,Housing,1700.00,,
606,01/09/2010,Expenses,Utilities,300.00,,
607,01/09/2010,Expenses,Food,50.27,,
608,01/09/2010,Expenses,Health,67.00,,
609,01/09/2010,Savings/debt expenses,,74.15,,3
610,01/09/2010,Debt selling,,25.85,1,3
611,03/09/2010,Expenses,Food,49.61,,
612,06/09/2010,Expenses,Food,49.46,,
613,10/09/2010,Expenses,Food,49.31,,
614,12/09/2010,Expenses,Food,49.16,,
615,13/09/2010,Expenses,Food,49.01,,
616,15/09/2010,Expenses,Leisure,957.01,,
617,17/09/2010,Debt selling,,218.15,1,3
618,18/09/2010,Expenses,,51.01,,
619,20/09/2010,Expenses,Food,45.19,,
620,20/09/2010,Expenses,Health,28.13,,
621,20/09/2010,Expenses,Leisure,903.65,,
622,21/09/2010,Expenses,Shopping,574.44,,
623,22/09/2010,Expenses,Food,40.53,,
624,25/09/2010,Expenses,Utilities,52.62,,
625,30/09/2010,Expenses,Food,40.26,,
626,30/09/2010,Expenses,Utilities,38.61,,
627,01/10/2010,Income,,3500.00,,
628,01/10/2010,Expenses,Housing,1700.00,,
629,01/10/2010,Expenses,Utilities,300.00,,
630,01/10/2010,Savings/debt expenses,,72.93,,3
631,01/10/2010,Debt selling,,27.07,1,3
632,02/10/2010,Expenses,,175.20,,
633,03/10/2010,Expenses,Food,43.69,,
634,04/10/2010,Expenses,Food,43.56,,
635,04/10/2010,Expenses,,24.07,,
636,10/10/2010,Expenses,Food,43.36,,
637,11/10/2010,Expenses,,110.70,,
638,13/10/2010,Expenses,Utilities,35.84,,
639,20/10/2010,Expenses,Food,42.79,,
640,21/10/2010,Expenses,Food,42.66,,
641,22/10/2010,Expenses,Food,42.53,,
642,23/10/2010,Expenses,Food,42.41,,
643,26/10/2010,Expenses,Leisure,104.32,,
644,27/10/2010,Expenses,Food,41.97,,
645,29/10/2010,Expenses,Shopping,1122.55,,
646,31/10/2010,Expenses,Food,38.47,,
647,01/11/2010,Income,,3500.00,,
648,01/11/2010,Expenses,Housing,1700.00,,
649,01/11/2010,Expenses,Utilities,300.00,,
650,01/11/2010,Savings/debt expenses,,72.80,,3
651,01/11/2010,Debt selling,,27.2,1,3
652,04/11/2010,Expenses,Food,42.56,,
653,09/11/2010,Expenses,Food,42.41,,
654,11/11/2010,Expenses,Health,124.41,,
655,15/11/2010,Expenses,Food,41.91,,
656,18/11/2010,Expenses,Health,34.76,,
657,22/11/2010,Expenses,Utilities,88.65,,
658,23/11/2010,Expenses,Housing,170.41,,
659,23/11/2010,Expenses,Food,41.41,,
660,29/11/2010,Expenses,Food,40.78,,
661,30/11/2010,Expenses,Health,12.36,,
662,01/12/2010,Income,,3500.00,,
663,01/12/2010,Expenses,Housing,1700.00,,
664,01/12/2010,Expenses,Utilities,300.00,,
665,01/12/2010,Expenses,Food,45.12,,
666,01/12/2010,Savings/debt expenses,,72.66,,3
667,01/12/2010,Debt selling,,27.34,1,3
668,07/12/2010,Expenses,,211.87,,
669,09/12/2010,Expenses,Health,111.72,,
670,10/12/2010,Expenses,Food,43.71,,
671,11/12/2010,Expenses,Food,43.58,,
672,13/12/2010,Expenses,Food,43.45,,
673,18/12/2010,Expenses,Food,43.32,,
674,21/12/2010,Expenses,Food,43.19,,
675,27/12/2010,Expenses,Food,43.07,,
676,01/01/2011,Income,,3500.00,,
677,01/01/2011,Expenses,Housing,1700.00,,
678,01/01/2011,Expenses,Utilities,300.00,,
679,01/01/2011,Expenses,Food,47.44,,
680,01/01/2011,Savings/debt expenses,,72.53,,3
681,01/01/2011,Debt selling,,27.47,1,3
682,03/01/2011,Expenses,Food,47.00,,
683,03/01/2011,Expenses,,452.30,,
684,05/01/2011,Expenses,Leisure,72.08,,
685,10/01/2011,Debt selling,,243.91,1,3
686,12/01/2011,Expenses,Health,118.81,,
687,16/01/2011,Expenses,Food,44.20,,
688,17/01/2011,Expenses,Leisure,259.53,,
689,19/01/2011,Expenses,Food,43.29,,
690,21/01/2011,Expenses,Food,43.16,,
691,22/01/2011,Debt selling,,231.67,1,3
692,23/01/2011,Debt selling,,182.54,1,3
693,24/01/2011,Expenses,Food,41.79,,
694,27/01/2011,Expenses,Food,41.66,,
695,28/01/2011,Debt selling,,195.87,1,3
696,01/02/2011,Income,,3500.00,,
697,01/02/2011,Expenses,Housing,1700.00,,
698,01/02/2011,Expenses,Utilities,300.00,,
699,01/02/2011,Savings/debt expenses,,68.12,,3
700,01/02/2011,Debt selling,,31.88,1,3
701,08/02/2011,Debt selling,,191.47,1,3
702,09/02/2011,Expenses,Food,44.57,,
703,15/02/2011,Expenses,Food,44.44,,
704,16/02/2011,Expenses,Food,44.31,,
705,16/02/2011,Expenses,Leisure,365.62,,
706,21/02/2011,Debt selling,,173.82,1,3
707,26/02/2011,Expenses,Food,42.55,,
708,28/02/2011,Expenses,,124.00,,
709,01/03/2011,Income,,3500.00,,
710,01/03/2011,Expenses,Housing,1700.00,,
711,01/03/2011,Expenses,Utilities,300.00,,
712,01/03/2011,Expenses,Utilities,91.00,,
713,01/03/2011,Savings/debt expenses,,66.13,,3
714,01/03/2011,Debt selling,,33.87,1,3
715,04/03/2011,Expenses,Food,46.01,,
716,08/03/2011,Expenses,Health,101.74,,
717,09/03/2011,Debt selling,,139.18,1,3
718,10/03/2011,Expenses,Leisure,626.61,,
719,11/03/2011,Debt selling,,166.33,1,3
720,15/03/2011,Expenses,Food,42.77,,
721,17/03/2011,Expenses,Health,45.19,,
722,18/03/2011,Expenses,Food,42.51,,
723,19/03/2011,Expenses,Food,42.38,,
724,21/03/2011,Expenses,Food,42.25,,
725,26/03/2011,Expenses,Food,42.12,,
726,26/03/2011,Expenses,Health,49.68,,
727,27/03/2011,Expenses,Food,41.85,,
728,28/03/2011,Expenses,Food,41.72,,
729,28/03/2011,Expenses,Leisure,134.89,,
730,30/03/2011,Expenses,Health,1.20,,
731,31/03/2011,Expenses,Food,41.16,,
732,01/04/2011,Income,,3500.00,,
733,01/04/2011,Expenses,Housing,1700.00,,
734,01/04/2011,Expenses,Utilities,300.00,,
735,01/04/2011,Savings/debt expenses,,64.44,,3
736,01/04/2011,Debt selling,,35.56,1,3
737,02/04/2011,Income,,151.25,,
738,03/04/2011,Expenses,Food,45.69,,
739,07/04/2011,Expenses,Food,45.56,,
740,12/04/2011,Expenses,Health,80.52,,
741,14/04/2011,Expenses,Health,128.59,,
742,15/04/2011,Expenses,Food,44.79,,
743,16/04/2011,Expenses,Food,44.66,,
744,18/04/2011,Income,,321.05,,
745,19/04/2011,Debt selling,,105.09,1,3
746,20/04/2011,Expenses,Utilities,76.76,,
747,23/04/2011,Expenses,Food,44.95,,
748,23/04/2011,Debt selling,,141.79,1,3
749,24/04/2011,Expenses,,237.10,,
750,26/04/2011,Expenses,Utilities,114.72,,
751,28/04/2011,Expenses,Food,43.34,,
752,28/04/2011,Expenses,Utilities,64.69,,
753,01/05/2011,Income,,3500.00,,
754,01/05/2011,Expenses,Housing,1700.00,,
755,01/05/2011,Expenses,Utilities,300.00,,
756,01/05/2011,Expenses,Food,47.52,,
757,01/05/2011,Savings/debt expenses,,63.02,,3
758,01/05/2011,Debt selling,,36.98,1,3
759,02/05/2011,Expenses,Food,47.07,,
760,04/05/2011,Expenses,Food,46.93,,
761,05/05/2011,Expenses,,47.73,,
762,07/05/2011,Expenses,Food,46.65,,
763,10/05/2011,Expenses,Food,46.49,,
764,10/05/2011,Expenses,Utilities,92.23,,
765,18/05/2011,Expenses,Food,46.08,,
766,24/05/2011,Expenses,Food,45.94,,
767,26/05/2011,Expenses,Food,45.80,,
768,28/05/2011,Expenses,Food,45.66,,
769,01/06/2011,Income,,3500.00,,
770,01/06/2011,Expenses,Housing,1700.00,,
771,01/06/2011,Expenses,Utilities,300.00,,
772,01/06/2011,Expenses,Utilities,25.67,,
773,01/06/2011,Savings/debt expenses,,62.84,,3
774,01/06/2011,Debt selling,,37.16,1,3
775,02/06/2011,Expenses,Food,49.65,,
776,04/06/2011,Expenses,Food,49.50,,
777,05/06/2011,Expenses,Food,49.35,,
778,11/06/2011,Expenses,Food,49.20,,
779,13/06/2011,Expenses,Food,49.05,,
780,16/06/2011,Expenses,Food,48.91,,
781,20/06/2011,Expenses,Food,48.76,,
782,22/06/2011,Expenses,Leisure,288.65,,
783,30/06/2011,Expenses,Food,47.75,,
784,01/07/2011,Income,,3500.00,,
785,01/07/2011,Expenses,Housing,1700.00,,
786,01/07/2011,Expenses,Utilities,300.00,,
787,01/07/2011,Savings/debt expenses,,62.65,,3
788,01/07/2011,Debt selling,,37.35,1,3
789,02/07/2011,Expenses,Health,90.64,,
790,05/07/2011,Expenses,Food,51.53,,
791,05/07/2011,Expenses,,120.96,,
792,06/07/2011,Expenses,Health,13.87,,
793,08/07/2011,Expenses,Food,50.97,,
794,12/07/2011,Expenses,Food,50.82,,
795,12/07/2011,Expenses,,189.04,,
796,12/07/2011,Debt selling,,244.33,1,3
797,13/07/2011,Expenses,Food,49.37,,
798,14/07/2011,Expenses,Food,49.22,,
799,18/07/2011,Expenses,Shopping,512.35,,
800,20/07/2011,Expenses,Shopping,96.67,,
801,21/07/2011,Expenses,Shopping,60.04,,
802,22/07/2011,Expenses,Food,47.10,,
803,22/07/2011,Expenses,Leisure,315.14,,
804,24/07/2011,Debt selling,,164.97,1,3
805,01/08/2011,Income,,3500.00,,
806,01/08/2011,Expenses,Housing,1700.00,,
807,01/08/2011,Expenses,Utilities,300.00,,
808,01/08/2011,Savings/debt expenses,,60.42,,3
809,01/08/2011,Debt selling,,39.58,1,3
810,03/08/2011,Expenses,,202.66,,
811,04/08/2011,Expenses,Food,49.11,,
812,05/08/2011,Expenses,Food,48.96,,
813,05/08/2011,Expenses,Utilities,85.53,,
814,06/08/2011,Expenses,Utilities,63.06,,
815,07/08/2011,Expenses,Food,48.37,,
816,08/08/2011,Expenses,Food,48.22,,
817,11/08/2011,Expenses,Food,48.08,,
818,14/08/2011,Expenses,Food,47.93,,
819,15/08/2011,Expenses,Health,35.38,,
820,17/08/2011,Expenses,Leisure,265.36,,
821,20/08/2011,Expenses,Food,46.89,,
822,21/08/2011,Expenses,Food,46.75,,
823,23/08/2011,Expenses,Housing,191.87,,
824,24/08/2011,Expenses,Utilities,52.43,,
825,25/08/2011,Expenses,Health,45.32,,
826,26/08/2011,Expenses,Food,45.74,,
827,26/08/2011,Expenses,Shopping,851.90,,
828,28/08/2011,Expenses,Housing,182.71,,
829,30/08/2011,Expenses,Health,119.83,,
830,31/08/2011,Expenses,Shopping,236.48,,
831,01/09/2011,Income,,3500.00,,
832,01/09/2011,Expenses,Housing,1700.00,,
833,01/09/2011,Expenses,Utilities,300.00,,
834,01/09/2011,Expenses,Food,45.93,,
835,01/09/2011,Savings/debt expenses,,60.22,,3
836,01/09/2011,Debt selling,,39.78,1,3
837,03/09/2011,Expenses,Food,45.49,,
838,04/09/2011,Expenses,Food,45.35,,
839,07/09/2011,Expenses,Food,45.22,,
840,10/09/2011,Expenses,Food,45.08,,
841,12/09/2011,Debt selling,,255.71,1,3
842,16/09/2011,Expenses,Food,44.17,,
843,19/09/2011,Expenses,,372.97,,
844,20/09/2011,Expenses,Food,42.92,,
845,23/09/2011,Expenses,Leisure,388.06,,
846,25/09/2011,Expenses,Food,41.63,,
847,29/09/2011,Expenses,Food,41.50,,
848,29/09/2011,Expenses,Utilities,78.28,,
849,29/09/2011,Expenses,Health,187.23,,
850,30/09/2011,Expenses,Food,40.58,,
851,01/10/2011,Income,,3500.00,,
852,01/10/2011,Expenses,Housing,1700.00,,
853,01/10/2011,Expenses,Utilities,300.00,,
854,01/10/2011,Expenses,Food,44.96,,
855,01/10/2011,Expenses,Health,63.44,,
856,01/10/2011,Savings/debt expenses,,58.74,,3
857,01/10/2011,Debt selling,,41.26,1,3
858,04/10/2011,Expenses,Food,44.33,,
859,04/10/2011,Expenses,Health,15.71,,
860,08/10/2011,Expenses,Utilities,99.93,,
861,10/10/2011,Expenses,Health,52.79,,
862,12/10/2011,Expenses,Food,43.70,,
863,12/10/2011,Expenses,Leisure,875.44,,
864,15/10/2011,Expenses,Food,40.96,,
865,19/10/2011,Expenses,Food,40.86,,
866,20/10/2011,Expenses,Food,40.73,,
867,21/10/2011,Expenses,Food,40.61,,
868,23/10/2011,Expenses,Food,40.49,,
869,27/10/2011,Expenses,Food,40.37,,
870,27/10/2011,Expenses,Health,2.82,,
871,28/10/2011,Expenses,Food,40.24,,
872,29/10/2011,Expenses,Food,40.12,,
873,30/10/2011,Debt selling,,239.22,1,3
874,31/10/2011,Expenses,Food,39.28,,
875,01/11/2011,Income,,3500.00,,
876,01/11/2011,Expenses,Housing,1700.00,,
877,01/11/2011,Expenses,Utilities,300.00,,
878,01/11/2011,Expenses,Health,8.66,,
879,01/11/2011,Expenses,Shopping,397.08,,
880,01/11/2011,Savings/debt expenses,,57.34,,3
881,01/11/2011,Debt selling,,42.66,1,3
882,02/11/2011,Expenses,Food,42.14,,
883,07/11/2011,Expenses,Food,42.02,,
884,09/11/2011,Expenses,Food,41.89,,
885,12/11/2011,Expenses,Food,41.77,,
886,14/11/2011,Expenses,Food,41.64,,
887,17/11/2011,Expenses,Food,41.52,,
888,17/11/2011,Expenses,Health,34.53,,
889,19/11/2011,Expenses,Leisure,291.24,,
890,20/11/2011,Expenses,Food,40.42,,
891,23/11/2011,Expenses,Food,40.29,,
892,28/11/2011,Expenses,Food,40.17,,
893,29/11/2011,Expenses,Food,40.05,,
894,01/12/2011,Income,,3500.00,,
895,01/12/2011,Expenses,Housing,1700.00,,
896,01/12/2011,Expenses,Utilities,300.00,,
897,01/12/2011,Expenses,Leisure,197.29,,
898,01/12/2011,Savings/debt expenses,,57.13,,3
899,01/12/2011,Debt selling,,42.87,1,3
900,07/12/2011,Expenses,Food,43.54,,
901,08/12/2011,Expenses,Food,43.41,,
902,12/12/2011,Expenses,Food,43.28,,
903,16/12/2011,Expenses,Food,43.15,,
904,17/12/2011,Expenses,Food,43.02,,
905,23/12/2011,Expenses,Food,42.89,,
906,24/12/2011,Expenses,Food,42.76,,
907,25/12/2011,Expenses,Food,42.63,,
908,28/12/2011,Expenses,Food,42.51,,
909,31/12/2011,Expenses,Health,15.71,,
910,01/01/2012,Income,,3500.00,,
911,01/01/2012,Expenses,Housing,1700.00,,
912,01/01/2012,Expenses,Utilities,300.00,,
913,01/01/2012,Expenses,Food,46.83,,
914,01/01/2012,Savings/debt expenses,,56.91,,3
915,01/01/2012,Debt selling,,43.09,1,3
916,04/01/2012,Expenses,Food,46.38,,
917,05/01/2012,Expenses,Food,46.24,,
918,06/01/2012,Expenses,Health,65.11,,
919,07/01/2012,Expenses,Food,45.91,,
920,08/01/2012,Expenses,Food,45.77,,
921,14/01/2012,Expenses,Food,45.63,,
922,14/01/2012,Expenses,Health,9.59,,
923,16/01/2012,Expenses,Food,45.46,,
924,16/01/2012,Expenses,Shopping,579.56,,
925,17/01/2012,Expenses,Health,44.28,,
926,24/01/2012,Expenses,Food,43.45,,
927,24/01/2012,Savings selling,,77.13,3.52,0
928,26/01/2012,Expenses,Food,43.55,,
929,01/02/2012,Income,,3500.00,,
930,01/02/2012,Expenses,Housing,1700.00,,
931,01/02/2012,Expenses,Utilities,300.00,,
932,01/02/2012,Savings/debt expenses,,56.70,,3
933,01/02/2012,Debt selling,,43.3,1,3
934,03/02/2012,Expenses,Leisure,552.29,,
935,09/02/2012,Expenses,Food,45.97,,
936,10/02/2012,Expenses,Health,157.49,,
937,11/02/2012,Expenses,Food,45.36,,
938,12/02/2012,Expenses,Leisure,206.59,,
939,15/02/2012,Expenses,Food,44.60,,
940,15/02/2012,Expenses,,220.91,,
941,16/02/2012,Expenses,Food,43.80,,
942,17/02/2012,Expenses,Food,43.67,,
943,18/02/2012,Expenses,Food,43.54,,
944,19/02/2012,Expenses,Food,43.41,,
945,20/02/2012,Expenses,Food,43.28,,
946,22/02/2012,Expenses,Food,43.15,,
947,23/02/2012,Expenses,Food,43.02,,
948,25/02/2012,Expenses,Food,42.89,,
949,25/02/2012,Expenses,Health,15.63,,
950,26/02/2012,Expenses,,161.14,,
951,27/02/2012,Expenses,Food,42.23,,
952,01/03/2012,Income,,3500.00,,
953,01/03/2012,Expenses,Housing,1700.00,,
954,01/03/2012,Expenses,Utilities,300.00,,
955,01/03/2012,Expenses,Food,46.60,,
956,01/03/2012,Savings/debt expenses,,56.48,,3
957,01/03/2012,Debt selling,,43.52,1,3
958,04/03/2012,Expenses,Food,46.16,,
959,04/03/2012,Expenses,Health,72.80,,
960,09/03/2012,Expenses,Health,59.09,,
961,09/03/2012,Expenses,Shopping,223.35,,
962,12/03/2012,Expenses,Utilities,61.79,,
963,16/03/2012,Income,,396.69,,
964,16/03/2012,Expenses,Food,45.96,,
965,24/03/2012,Expenses,,242.20,,
966,26/03/2012,Expenses,,55.01,,
967,27/03/2012,Expenses,Food,44.93,,
968,31/03/2012,Expenses,Food,44.80,,
969,31/03/2012,Expenses,Utilities,97.45,,
970,01/04/2012,Income,,3500.00,,
971,01/04/2012,Expenses,Housing,1700.00,,
972,01/04/2012,Expenses,Utilities,300.00,,
973,01/04/2012,Expenses,Utilities,49.59,,
974,01/04/2012,Savings/debt expenses,,56.26,,3
975,01/04/2012,Debt selling,,43.74,1,3
976,03/04/2012,Expenses,Food,48.42,,
977,06/04/2012,Expenses,Food,48.28,,
978,06/04/2012,Expenses,Shopping,787.65,,
979,08/04/2012,Expenses,Food,45.77,,
980,10/04/2012,Expenses,Food,45.63,,
981,12/04/2012,Debt selling,,269.3,1,3
982,15/04/2012,Expenses,Food,44.69,,
983,15/04/2012,Expenses,Health,76.85,,
984,20/04/2012,Expenses,Health,45.47,,
985,26/04/2012,Expenses,Food,44.19,,
986,28/04/2012,Expenses,Food,44.05,,
987,28/04/2012,Expenses,Utilities,39.32,,
988,29/04/2012,Expenses,Utilities,70.79,,
989,30/04/2012,Expenses,Food,43.59,,
990,01/05/2012,Income,,3500.00,,
991,01/05/2012,Expenses,Housing,1700.00,,
992,01/05/2012,Expenses,Utilities,300.00,,
993,01/05/2012,Expenses,,102.38,,
994,01/05/2012,Savings/debt expenses,,54.70,,3
995,01/05/2012,Debt selling,,45.3,1,3
996,02/05/2012,Expenses,Food,47.35,,
997,05/05/2012,Expenses,Food,47.21,,
998,10/05/2012,Debt selling,,259.17,1,3
999,11/05/2012,Expenses,Housing,156.92,,
1000,13/05/2012,Expenses,Food,45.82,,
1001,14/05/2012,Expenses,Food,45.68,,
1002,15/05/2012,Debt selling,,276.55,1,3
1003,17/05/2012,Expenses,,303.16,,
1004,21/05/2012,Expenses,Food,43.80,,
1005,23/05/2012,Debt selling,,216.41,1,3
1006,26/05/2012,Expenses,,166.95,,
1007,28/05/2012,Expenses,Food,42.53,,
1008,29/05/2012,Expenses,Food,42.40,,
1009,29/05/2012,Expenses,Utilities,130.87,,
1010,31/05/2012,Expenses,Food,41.88,,
1011,01/06/2012,Income,,3500.00,,
1012,01/06/2012,Expenses,Housing,1700.00,,
1013,01/06/2012,Expenses,Utilities,300.00,,
1014,01/06/2012,Savings/debt expenses,,50.71,,3
1015,01/06/2012,Debt selling,,49.29,1,3
1016,02/06/2012,Expenses,Food,45.95,,
1017,02/06/2012,Expenses,Health,141.77,,
1018,08/06/2012,Expenses,Food,45.39,,
1019,19/06/2012,Expenses,Food,45.25,,
1020,19/06/2012,Expenses,Health,162.84,,
1021,20/06/2012,Expenses,Food,44.63,,
1022,20/06/2012,Debt selling,,263.61,1,3
1023,23/06/2012,Expenses,Food,43.70,,
1024,23/06/2012,Expenses,Health,140.41,,
1025,26/06/2012,Expenses,Food,43.15,,
1026,26/06/2012,Debt selling,,111.32,1,3
1027,27/06/2012,Expenses,Food,42.69,,
1028,29/06/2012,Expenses,Food,42.56,,
1029,01/07/2012,Income,,3500.00,,
1030,01/07/2012,Expenses,Housing,1700.00,,
1031,01/07/2012,Expenses,Utilities,300.00,,
1032,01/07/2012,Savings/debt expenses,,48.59,,3
1033,01/07/2012,Debt selling,,51.41,1,3
1034,03/07/2012,Expenses,Food,46.63,,
1035,06/07/2012,Expenses,Food,46.49,,
1036,07/07/2012,Expenses,Food,46.35,,
1037,11/07/2012,Expenses,Food,46.21,,
1038,12/07/2012,Expenses,Health,75.69,,
1039,14/07/2012,Expenses,Health,220.89,,
1040,15/07/2012,Expenses,Leisure,311.83,,
1041,17/07/2012,Expenses,Food,44.25,,
1042,17/07/2012,Debt selling,,236.37,1,3
1043,21/07/2012,Expenses,Food,43.41,,
1044,25/07/2012,Expenses,Food,43.28,,
1045,27/07/2012,Expenses,Shopping,87.77,,
1046,28/07/2012,Expenses,,25.48,,
1047,30/07/2012,Expenses,Food,42.81,,
1048,31/07/2012,Expenses,Food,42.68,,
1049,01/08/2012,Income,,3500.00,,
1050,01/08/2012,Expenses,Housing,1700.00,,
1051,01/08/2012,Expenses,Utilities,300.00,,
1052,01/08/2012,Expenses,Food,47.05,,
1053,01/08/2012,Savings/debt expenses,,47.15,,3
1054,01/08/2012,Debt selling,,52.85,1,3
1055,04/08/2012,Expenses,Food,46.61,,
1056,05/08/2012,Expenses,Food,46.47,,
1057,07/08/2012,Expenses,,215.59,,
1058,09/08/2012,Expenses,Food,45.68,,
1059,10/08/2012,Expenses,Food,45.55,,
1060,11/08/2012,Expenses,Health,128.40,,
1061,11/08/2012,Debt selling,,309.7,1,3
1062,12/08/2012,Expenses,Housing,180.19,,
1063,12/08/2012,Expenses,Food,44.10,,
1064,15/08/2012,Expenses,Food,43.42,,
1065,16/08/2012,Expenses,Health,5.42,,
1066,17/08/2012,Expenses,Food,43.28,,
1067,19/08/2012,Expenses,Food,43.15,,
1068,21/08/2012,Expenses,Food,43.02,,
1069,26/08/2012,Expenses,Utilities,143.14,,
1070,29/08/2012,Expenses,Shopping,185.48,,
1071,01/09/2012,Income,,3500.00,,
1072,01/09/2012,Expenses,Housing,1700.00,,
1073,01/09/2012,Expenses,Utilities,300.00,,
1074,01/09/2012,Savings/debt expenses,,45.34,,3
1075,01/09/2012,Debt selling,,54.66,1,3
1076,03/09/2012,Expenses,Food,46.10,,
1077,04/09/2012,Expenses,Food,45.96,,
1078,11/09/2012,Expenses,Food,45.83,,
1079,12/09/2012,Expenses,Food,45.69,,
1080,12/09/2012,Expenses,,220.37,,
1081,13/09/2012,Expenses,Leisure,703.08,,
1082,14/09/2012,Expenses,Food,42.78,,
1083,16/09/2012,Expenses,Utilities,143.02,,
1084,18/09/2012,Expenses,Food,42.22,,
1085,18/09/2012,Expenses,Shopping,665.58,,
1086,23/09/2012,Expenses,Food,40.08,,
1087,24/09/2012,Expenses,Food,39.96,,
1088,27/09/2012,Expenses,Health,46.58,,
1089,28/09/2012,Expenses,Utilities,68.39,,
1090,01/10/2012,Income,,3500.00,,
1091,01/10/2012,Expenses,Housing,1700.00,,
1092,01/10/2012,Expenses,Utilities,300.00,,
1093,01/10/2012,Savings/debt expenses,,45.07,,3
1094,01/10/2012,Debt selling,,54.93,1,3
1095,04/10/2012,Income,,240.23,,
1096,04/10/2012,Expenses,Food,44.42,,
1097,05/10/2012,Debt selling,,215.13,1,3
1098,06/10/2012,Expenses,Food,43.64,,
1099,06/10/2012,Debt selling,,121.02,1,3
1100,08/10/2012,Expenses,Food,43.15,,
1101,10/10/2012,Expenses,Food,43.02,,
1102,11/10/2012,Expenses,Food,42.89,,
1103,13/10/2012,Expenses,Food,42.76,,
1104,13/10/2012,Expenses,Utilities,90.08,,
1105,16/10/2012,Expenses,Food,42.37,,
1106,16/10/2012,Expenses,Shopping,302.83,,
1107,23/10/2012,Expenses,Food,41.33,,
1108,27/10/2012,Expenses,Food,41.21,,
1109,31/10/2012,Expenses,,358.49,,
1110,01/11/2012,Income,,3500.00,,
1111,01/11/2012,Expenses,Housing,1700.00,,
1112,01/11/2012,Expenses,Utilities,300.00,,
1113,01/11/2012,Expenses,Food,44.51,,
1114,01/11/2012,Savings/debt expenses,,43.11,,3
1115,01/11/2012,Debt selling,,56.89,1,3
1116,02/11/2012,Expenses,Utilities,27.51,,
1117,04/11/2012,Expenses,Food,43.99,,
1118,05/11/2012,Expenses,Utilities,63.01,,
1119,06/11/2012,Expenses,Food,43.67,,
1120,12/11/2012,Expenses,Food,43.52,,
1121,14/11/2012,Expenses,Food,43.38,,
1122,16/11/2012,Expenses,Food,43.25,,
1123,21/11/2012,Expenses,Food,43.12,,
1124,22/11/2012,Income,,311.02,,
1125,23/11/2012,Expenses,Food,43.93,,
1126,27/11/2012,Expenses,Food,43.80,,
1127,27/11/2012,Expenses,Leisure,37.14,,
1128,28/11/2012,Expenses,Food,43.55,,
1129,29/11/2012,Expenses,Food,43.42,,
1130,30/11/2012,Expenses,Shopping,81.39,,
1131,01/12/2012,Income,,3500.00,,
1132,01/12/2012,Expenses,Housing,1700.00,,
1133,01/12/2012,Expenses,Utilities,300.00,,
1134,01/12/2012,Expenses,Food,47.55,,
1135,01/12/2012,Savings/debt expenses,,42.83,,3
1136,01/12/2012,Debt selling,,57.17,1,3
1137,07/12/2012,Expenses,Food,47.11,,
1138,07/12/2012,Expenses,Health,99.58,,
1139,07/12/2012,Expenses,,191.72,,
1140,08/12/2012,Expenses,Food,46.09,,
1141,11/12/2012,Expenses,Food,45.95,,
1142,12/12/2012,Expenses,Health,4.05,,
1143,12/12/2012,Expenses,,59.58,,
1144,13/12/2012,Expenses,Food,45.62,,
1145,17/12/2012,Expenses,Food,45.49,,
1146,19/12/2012,Expenses,Health,73.85,,
1147,21/12/2012,Debt selling,,238.25,1,3
1148,23/12/2012,Expenses,Food,44.41,,
1149,29/12/2012,Expenses,Food,44.28,,
1150,30/12/2012,Expenses,Food,44.15,,
1151,01/01/2013,Income,,3500.00,,
1152,01/01/2013,Expenses,Housing,1700.00,,
1153,01/01/2013,Expenses,Utilities,300.00,,
1154,01/01/2013,Income,,105.41,,
1155,01/01/2013,Expenses,Food,48.83,,
1156,01/01/2013,Savings/debt expenses,,41.35,,3
1157,01/01/2013,Debt selling,,58.65,1,3
1158,11/01/2013,Expenses,Shopping,1096.37,,
1159,11/01/2013,Debt selling,,162.28,1,3
1160,12/01/2013,Expenses,Food,44.61,,
1161,18/01/2013,Expenses,Food,44.47,,
1162,21/01/2013,Expenses,Housing,178.15,,
1163,24/01/2013,Expenses,Utilities,77.78,,
1164,26/01/2013,Expenses,Utilities,37.40,,
1165,31/01/2013,Expenses,Food,43.45,,
1166,31/01/2013,Expenses,,283.44,,
1167,01/02/2013,Income,,3500.00,,
1168,01/02/2013,Expenses,Housing,1700.00,,
1169,01/02/2013,Expenses,Utilities,300.00,,
1170,01/02/2013,Expenses,Food,46.97,,
1171,01/02/2013,Savings/debt expenses,,40.24,,3
1172,01/02/2013,Debt selling,,59.76,1,3
1173,02/02/2013,Expenses,Health,99.29,,
1174,04/02/2013,Expenses,Food,46.23,,
1175,08/02/2013,Expenses,Health,101.24,,
1176,11/02/2013,Expenses,Food,45.79,,
1177,12/02/2013,Expenses,Food,45.65,,
1178,13/02/2013,Expenses,Leisure,1392.63,,
1179,15/02/2013,Expenses,Food,41.34,,
1180,17/02/2013,Expenses,Food,41.21,,
1181,19/02/2013,Expenses,Food,41.09,,
1182,22/02/2013,Expenses,Utilities,65.65,,
1183,23/02/2013,Expenses,Food,40.77,,
1184,25/02/2013,Expenses,,259.41,,
1185,26/02/2013,Expenses,Health,118.11,,
1186,27/02/2013,Expenses,Utilities,98.57,,
